wanted,position,positionid,from,start,end
Q3358505,Minister of Town and Regional Planning,Q98822719,Q113674890,2022-08-20,
Q96473724,Minister of Pre-University Education and Literacy,Q114643191,Q109296978,2021-10-27,
Q96473724,Minister of Pre-University Education and Literacy,Q114643191,Q109296978,2021-10-27,2022-08-20
Q91242813,Minister of Security and Civil Protection,Q114643644,Q109044662,2021-10-21,
Q42211124,Minister of Posts and Telecoms,Q98822766,Q96475179,2021-07,2021-09-05
Q72251509,Minister of Youth,Q98822750,Q106882714,2021-02,
Q91242540,Minister of Technical Education and Vocational Training,Q114643143,Q98602747,2020-06-19,2021-09-05
Q74880431,Minster of Budget,Q98822566,Q94705904,2018-05-26,2021-09-05
Q90157112,"Minister of Fisheries, Aquaculture and the Maritime Economy",Q90169155,Q90159096,2018-05-26,
Q109513009,Minister of Mines and Geology,Q98822704,Q90561086,2010-12-24,2014-01-15
Q114643430,Minister of Foreign Affairs,Q109255195,Q93429790,2010-12-24,2012-10-06
Q85854081,First Lady,Q85853945,Q5285288,2010-12-21,2021-09-05
